  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , , rpm       , g/s       , mbar      ,, mbar      ,, mbar      ,, V         , V         , V         , V         , , , , °C        , °C        , °C        , ms        , °C        , km/h      , DK      , PED     , °KW       
TIME,IgnitionRetardCyl1,IgnitionRetardCyl5,IgnitionRetardCyl3,IgnitionRetardCyl2,SelectedGear,AirFuelRatioDesired,WastegateDutyCycle,EngineSpeed,MassAirFlow,BoostPressureDesired,,BaroPressure,,BoostPressureActual,,KnockVoltageCyl1,KnockVoltageCyl5,KnockVoltageCyl3,KnockVoltageCyl2,EngineLoad_8,EngineLoadCorrected,EngineLoadSpecified,EGTModelBeforeCat,IntakeAirTemperature,IntakeAirTemperature,FuelInjectorOnTime,CoolantTemperature,VehicleSpeed,ThrottlePlateAngle,AccelPedalPosition,IgnitionTimingAngleOverall
856.514,0,0,0,0,3,0.798829,0,3280,94.7223,2420,23.10976026,826.641,11.98943574,1407.42,8.42350246,6.87502,10,8.12502,7.50002,96.75,195.961,203.977,550,23.25,23.25,6.04801,90.75,73.7656,39.2157,99.9999,19.5
856.564,0,0,0,0,3,0.798829,0,3280,96.0556,2420,23.10976026,826.641,11.98943574,1422.66,8.644540372,6.87502,10,8.12502,7.50002,97.5,196.594,204.539,550,23.25,23.25,6.04001,90.75,74.1484,40,99.9999,19.5
856.614,0,0,0,0,3,0.798829,0,3320,95.889,2420,23.10976026,826.641,11.98943574,1430.47,8.75781505,7.03127,9.37502,8.75002,7.81252,98.25,197.063,204.938,550,23.25,23.25,6.07734,90.75,74.5703,40,99.9999,18.75
856.664,0,0,0,0,3,0.798341,0,3360,98.2779,2440,23.39983626,826.641,11.98943574,1450.08,9.042234568,7.03127,9.37502,8.75002,7.81252,99,197.906,205.688,555,23.25,23.25,6.13334,90.75,75.0703,40,99.9999,18.75
856.714,0,0,0,0,3,0.798341,0,3360,100.556,2440,23.39983626,826.641,11.98943574,1454.3,9.103440604,7.03127,9.06252,8.43752,7.81252,100.5,198.539,206.227,555,23.25,23.25,6.21334,90.75,75.4297,40,99.9999,18.75
856.764,0,0,0,0,3,0.798097,0,3360,100.861,2440,23.39983626,826.641,11.98943574,1467.42,9.29373046,7.03127,9.06252,8.43752,7.81252,102,199.102,206.742,555,23.25,23.25,6.25601,90.75,75.6953,40.3922,99.9999,18.75
856.814,0,0,0,0,3,0.798097,0,3400,103.806,2440,23.39983626,826.641,11.98943574,1479.61,9.470531782,6.87502,8.75002,9.37502,6.87502,102,199.805,207.328,555,23.25,23.25,6.30401,90.75,76.2813,40.3922,99.9999,18.75
856.864,0,0,0,0,3,0.797853,0,3400,102.417,2440,23.39983626,826.641,11.98943574,1491.33,9.640516318,6.87502,8.75002,9.37502,6.87502,102.75,200.32,207.797,555,23.25,23.25,6.35734,90.75,76.6406,40.3922,99.9999,18.75
856.914,0,0,0,0,3,0.797853,0,3440,106.306,2460,23.68991226,826.641,11.98943574,1499.38,9.757271908,7.34377,9.06252,9.06252,7.81252,104.25,201.234,208.57,565,23.25,23.25,6.38667,90.75,77.1484,40.7843,99.9999,18.75
856.964,0,0,0,0,3,0.797609,0,3440,108.472,2460,23.68991226,826.641,11.98943574,1511.88,9.938569408,7.34377,9.06252,9.06252,7.81252,105.75,201.797,209.133,565,23.25,23.25,6.48801,90.75,77.6484,40.7843,99.9999,18
857.014,0,0,0,0,3,0.797609,0,3480,109.417,2440,23.39983626,826.641,11.98943574,1525.39,10.13451575,7.65627,8.43752,8.75002,7.81252,106.5,201.656,209.742,565,23.25,23.25,6.58134,90.75,78.125,40.7843,99.9999,18
